夜市名稱,調味名稱,攤位,攤商名稱,品牌,來源(產地)
饒河街觀光夜市,糖,饒河街214號攤位,顏家寧夏手撕雞,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街214號攤位,顏家寧夏手撕雞,萬家香醬園股份有限公司,台北市中山區德惠街9號5樓之6
饒河街觀光夜市,沙拉油,饒河街191號,施老板,松山農產行,台北市信義區虎林街48之2號
饒河街觀光夜市,辣椒粉,饒河街191號,施老板,松山農產行,台北市信義區虎林街48之2號
饒河街觀光夜市,糖,饒河街191號,施老板,松山農產行,台北市信義區虎林街48之2號
饒河街觀光夜市,鹽,饒河街191號,施老板,松山農產行,台北市信義區虎林街48之2號
饒河街觀光夜市,沙拉油,饒河街夜市路中236號,北方水煎包,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,沙拉油,饒河街夜市路中236號,北方水煎包,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,味精,饒河街夜市路中236號,北方水煎包,味丹企業股份有限公司,台中市沙鹿區興安路65號
饒河街觀光夜市,油膏,饒河街夜市路中236號,北方水煎包,新亞醬園有限公司,新北市蘆洲區長安街285巷18號1樓
饒河街觀光夜市,香油,饒河街夜市路中236號,北方水煎包,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,香油,饒河街夜市路中236號,北方水煎包,辰邦股份有限公司,新北市新莊區化成路403巷47號
饒河街觀光夜市,糖,饒河街夜市路中236號,北方水煎包,台灣糖業股份有限公司,台南市仁德區田厝里文華路2段326號
饒河街觀光夜市,醬油,饒河街夜市路中236號,北方水煎包,金蘭食品股份有限公司,桃園市大溪區介壽路236號
饒河街觀光夜市,鹽,饒河街夜市路中236號,北方水煎包,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,鹽,饒河街夜市路中236號,北方水煎包,台鹽實業股份有限公司,苗栗縣通霄鎮內島里122號
饒河街觀光夜市,沙拉油,南松山廣場,八爪轟炸鮮魷魚,美食家食材通路股份有限公司,台南市安平區永華路二段373號
饒河街觀光夜市,芥末,南松山廣場,八爪轟炸鮮魷魚,其美有限公司,台北市信義區松山路156之1號
饒河街觀光夜市,蒜泥,南松山廣場,八爪轟炸鮮魷魚,環南市場,台北市萬華區環河南路二段245號
饒河街觀光夜市,沙拉油,饒河街111號,韓樓豆腐鍋,大統益股份有限公司,台南市官田區二鎮里工業西路32號
